,request number,chs count,particle num,scene,method,chamfer distance,projection succeeded?
0,0,0.0,0,Cheezit_01,wip_method,0.021188724786043167,True
1,0,0.0,1,Cheezit_01,wip_method,0.010037781670689583,True
2,0,0.0,2,Cheezit_01,wip_method,0.02498800680041313,True
3,0,0.0,3,Cheezit_01,wip_method,0.009743556380271912,True
4,0,0.0,4,Cheezit_01,wip_method,0.013725398108363152,True
5,0,0.0,5,Cheezit_01,wip_method,0.02221253700554371,True
6,0,0.0,6,Cheezit_01,wip_method,0.008934235200285912,True
7,0,0.0,7,Cheezit_01,wip_method,0.03191230446100235,True
8,0,0.0,8,Cheezit_01,wip_method,0.023318905383348465,True
9,0,0.0,9,Cheezit_01,wip_method,0.019750487059354782,True
10,1,0.0,0,Cheezit_01,wip_method,0.021188724786043167,True
11,1,0.0,1,Cheezit_01,wip_method,0.010037781670689583,True
12,1,0.0,2,Cheezit_01,wip_method,0.02498800680041313,True
13,1,0.0,3,Cheezit_01,wip_method,0.009743556380271912,True
14,1,0.0,4,Cheezit_01,wip_method,0.013725398108363152,True
15,1,0.0,5,Cheezit_01,wip_method,0.02221253700554371,True
16,1,0.0,6,Cheezit_01,wip_method,0.008934235200285912,True
17,1,0.0,7,Cheezit_01,wip_method,0.03191230446100235,True
18,1,0.0,8,Cheezit_01,wip_method,0.023318905383348465,True
19,1,0.0,9,Cheezit_01,wip_method,0.019750487059354782,True
20,2,0.0,0,Cheezit_01,wip_method,0.021188724786043167,True
21,2,0.0,1,Cheezit_01,wip_method,0.010037781670689583,True
22,2,0.0,2,Cheezit_01,wip_method,0.02462533488869667,True
23,2,0.0,3,Cheezit_01,wip_method,0.009671645238995552,True
24,2,0.0,4,Cheezit_01,wip_method,0.013725398108363152,True
25,2,0.0,5,Cheezit_01,wip_method,0.02221253700554371,True
26,2,0.0,6,Cheezit_01,wip_method,0.008934235200285912,True
27,2,0.0,7,Cheezit_01,wip_method,0.03191230446100235,True
28,2,0.0,8,Cheezit_01,wip_method,0.023037943989038467,True
29,2,0.0,9,Cheezit_01,wip_method,0.019750487059354782,True
30,3,1.0,0,Cheezit_01,wip_method,0.00871917512267828,True
31,3,1.0,1,Cheezit_01,wip_method,0.009485028684139252,True
32,3,1.0,2,Cheezit_01,wip_method,0.009481845423579216,True
33,3,1.0,3,Cheezit_01,wip_method,0.016270838677883148,True
34,4,1.0,0,Cheezit_01,wip_method,0.009048068895936012,True
35,4,1.0,1,Cheezit_01,wip_method,0.009516212157905102,True
36,4,1.0,2,Cheezit_01,wip_method,0.009534519165754318,True
37,4,1.0,3,Cheezit_01,wip_method,0.00892129447311163,True
38,4,1.0,4,Cheezit_01,wip_method,0.015173365361988544,True
39,5,1.0,0,Cheezit_01,wip_method,0.009109212085604668,True
40,5,1.0,1,Cheezit_01,wip_method,0.009522374719381332,True
41,5,1.0,2,Cheezit_01,wip_method,0.009326526895165443,True
42,5,1.0,3,Cheezit_01,wip_method,0.009023475460708141,True
43,5,1.0,4,Cheezit_01,wip_method,0.012918787077069283,True
44,6,2.0,0,Cheezit_01,wip_method,0.009501527063548565,True
45,6,2.0,1,Cheezit_01,wip_method,0.009312095120549202,True
46,6,2.0,2,Cheezit_01,wip_method,0.008508564904332161,True
47,7,2.0,0,Cheezit_01,wip_method,0.009567748755216599,True
48,7,2.0,1,Cheezit_01,wip_method,0.009281115606427193,True
49,7,2.0,2,Cheezit_01,wip_method,0.008683924563229084,True
50,8,2.0,0,Cheezit_01,wip_method,0.009451847523450851,True
51,8,2.0,1,Cheezit_01,wip_method,0.009174490347504616,True
52,8,2.0,2,Cheezit_01,wip_method,0.00905793160200119,True
