,request number,chs count,particle num,scene,method,chamfer distance,projection succeeded?
0,0,0.0,0,Cheezit_deep,VAE_GAN,0.0029818899824329025,True
1,0,0.0,1,Cheezit_deep,VAE_GAN,0.0029662887239189153,True
2,0,0.0,2,Cheezit_deep,VAE_GAN,0.0028860477089499878,True
3,0,0.0,3,Cheezit_deep,VAE_GAN,0.0029775340376088657,True
4,0,0.0,4,Cheezit_deep,VAE_GAN,0.0030041268664828587,True
5,0,0.0,5,Cheezit_deep,VAE_GAN,0.002937793964427083,True
6,0,0.0,6,Cheezit_deep,VAE_GAN,0.002926024566893113,True
7,0,0.0,7,Cheezit_deep,VAE_GAN,0.002800111907195242,True
8,0,0.0,8,Cheezit_deep,VAE_GAN,0.002974805343947857,True
9,0,0.0,9,Cheezit_deep,VAE_GAN,0.002777368461225043,True
10,1,0.0,0,Cheezit_deep,VAE_GAN,0.0029818899824329025,True
11,1,0.0,1,Cheezit_deep,VAE_GAN,0.0029662887239189153,True
12,1,0.0,2,Cheezit_deep,VAE_GAN,0.0028860477089499878,True
13,1,0.0,3,Cheezit_deep,VAE_GAN,0.0029775340376088657,True
14,1,0.0,4,Cheezit_deep,VAE_GAN,0.0030041268664828587,True
15,1,0.0,5,Cheezit_deep,VAE_GAN,0.002937793964427083,True
16,1,0.0,6,Cheezit_deep,VAE_GAN,0.002926024566893113,True
17,1,0.0,7,Cheezit_deep,VAE_GAN,0.002800111907195242,True
18,1,0.0,8,Cheezit_deep,VAE_GAN,0.002974805343947857,True
19,1,0.0,9,Cheezit_deep,VAE_GAN,0.002777368461225043,True
