,request number,chs count,particle num,scene,method,chamfer distance,projection succeeded?
0,0,0.0,0,mug,VAE_GAN,0.005602193395274234,True
1,0,0.0,1,mug,VAE_GAN,0.0056348001192767505,True
2,0,0.0,2,mug,VAE_GAN,0.005556287208320127,True
3,0,0.0,3,mug,VAE_GAN,0.005548350612089444,True
4,0,0.0,4,mug,VAE_GAN,0.0056340137358077205,True
5,0,0.0,5,mug,VAE_GAN,0.005579269122727742,True
6,0,0.0,6,mug,VAE_GAN,0.0055564296986993,True
7,0,0.0,7,mug,VAE_GAN,0.005525577703761569,True
8,0,0.0,8,mug,VAE_GAN,0.005675420401860502,True
9,0,0.0,9,mug,VAE_GAN,0.005629804532524233,True
10,1,0.0,0,mug,VAE_GAN,0.005602193395274234,True
11,1,0.0,1,mug,VAE_GAN,0.0056348001192767505,True
12,1,0.0,2,mug,VAE_GAN,0.005556287208320127,True
13,1,0.0,3,mug,VAE_GAN,0.005548350612089444,True
14,1,0.0,4,mug,VAE_GAN,0.0056340137358077205,True
15,1,0.0,5,mug,VAE_GAN,0.005579269122727742,True
16,1,0.0,6,mug,VAE_GAN,0.0055564296986993,True
17,1,0.0,7,mug,VAE_GAN,0.005525577703761569,True
18,1,0.0,8,mug,VAE_GAN,0.005675420401860502,True
19,1,0.0,9,mug,VAE_GAN,0.005629804532524233,True
20,2,0.0,0,mug,VAE_GAN,0.005602193395274234,True
21,2,0.0,1,mug,VAE_GAN,0.0056348001192767505,True
22,2,0.0,2,mug,VAE_GAN,0.005556287208320127,True
23,2,0.0,3,mug,VAE_GAN,0.005548350612089444,True
24,2,0.0,4,mug,VAE_GAN,0.0056340137358077205,True
25,2,0.0,5,mug,VAE_GAN,0.005579269122727742,True
26,2,0.0,6,mug,VAE_GAN,0.0055564296986993,True
27,2,0.0,7,mug,VAE_GAN,0.005525577703761569,True
28,2,0.0,8,mug,VAE_GAN,0.005675420401860502,True
29,2,0.0,9,mug,VAE_GAN,0.005629804532524233,True
