,request number,chs count,particle num,scene,method,chamfer distance,projection succeeded?
0,0,0.0,0,multiobject,VAE_GAN,0.005230128926477735,True
1,0,0.0,1,multiobject,VAE_GAN,0.004958404990472996,True
2,0,0.0,2,multiobject,VAE_GAN,0.00528880012326209,True
3,0,0.0,3,multiobject,VAE_GAN,0.005121032370781603,True
4,0,0.0,4,multiobject,VAE_GAN,0.005109018887880833,True
5,0,0.0,5,multiobject,VAE_GAN,0.005001955479513962,True
6,0,0.0,6,multiobject,VAE_GAN,0.0051101190951568344,True
7,0,0.0,7,multiobject,VAE_GAN,0.005627961128686904,True
8,0,0.0,8,multiobject,VAE_GAN,0.004941962568704517,True
9,0,0.0,9,multiobject,VAE_GAN,0.00512652004858234,True
10,1,0.0,0,multiobject,VAE_GAN,0.005230128926477735,True
11,1,0.0,1,multiobject,VAE_GAN,0.004958404990472996,True
12,1,0.0,2,multiobject,VAE_GAN,0.00528880012326209,True
13,1,0.0,3,multiobject,VAE_GAN,0.005121032370781603,True
14,1,0.0,4,multiobject,VAE_GAN,0.005109018887880833,True
15,1,0.0,5,multiobject,VAE_GAN,0.005001955479513962,True
16,1,0.0,6,multiobject,VAE_GAN,0.0051101190951568344,True
17,1,0.0,7,multiobject,VAE_GAN,0.005627961128686904,True
18,1,0.0,8,multiobject,VAE_GAN,0.004941962568704517,True
19,1,0.0,9,multiobject,VAE_GAN,0.00512652004858234,True
20,2,1.0,0,multiobject,VAE_GAN,0.0051852641233580965,True
21,2,1.0,1,multiobject,VAE_GAN,0.004891533490772903,True
22,2,1.0,2,multiobject,VAE_GAN,0.005197263216266316,True
23,2,1.0,3,multiobject,VAE_GAN,0.0051128053566239715,True
24,2,1.0,4,multiobject,VAE_GAN,0.005039828625417128,True
25,2,1.0,5,multiobject,VAE_GAN,0.004824227007933408,True
26,2,1.0,6,multiobject,VAE_GAN,0.0050101351595354315,True
27,2,1.0,7,multiobject,VAE_GAN,0.005277084775756743,True
28,2,1.0,8,multiobject,VAE_GAN,0.00492149728957561,True
29,2,1.0,9,multiobject,VAE_GAN,0.005139630979602202,True
30,3,1.0,0,multiobject,VAE_GAN,0.0051852641233580965,True
31,3,1.0,1,multiobject,VAE_GAN,0.004891533490772903,True
32,3,1.0,2,multiobject,VAE_GAN,0.005197263216266316,True
33,3,1.0,3,multiobject,VAE_GAN,0.0051128053566239715,True
34,3,1.0,4,multiobject,VAE_GAN,0.005039828625417128,True
35,3,1.0,5,multiobject,VAE_GAN,0.004824227007933408,True
36,3,1.0,6,multiobject,VAE_GAN,0.0050101351595354315,True
37,3,1.0,7,multiobject,VAE_GAN,0.005277084775756743,True
38,3,1.0,8,multiobject,VAE_GAN,0.00492149728957561,True
39,3,1.0,9,multiobject,VAE_GAN,0.005139630979602202,True
40,4,2.0,0,multiobject,VAE_GAN,0.0051852641233580965,True
