,request number,chs count,particle num,scene,method,chamfer distance,projection succeeded?
0,0,0.0,0,multiobject,proposed,0.007190570717056161,True
1,0,0.0,1,multiobject,proposed,0.012543060589713466,True
2,0,0.0,2,multiobject,proposed,0.01578605386945592,True
3,0,0.0,3,multiobject,proposed,0.014036176104535163,True
4,0,0.0,4,multiobject,proposed,0.01389704248911305,True
5,0,0.0,5,multiobject,proposed,0.012166347709216558,True
6,0,0.0,6,multiobject,proposed,0.012269872828707427,True
7,0,0.0,7,multiobject,proposed,0.01927775722458097,True
8,0,0.0,8,multiobject,proposed,0.013905375266020724,True
9,0,0.0,9,multiobject,proposed,0.01395742861162028,True
10,1,0.0,0,multiobject,proposed,0.007190570717056161,True
11,1,0.0,1,multiobject,proposed,0.012543060589713466,True
12,1,0.0,2,multiobject,proposed,0.01578605386945592,True
13,1,0.0,3,multiobject,proposed,0.014036176104535163,True
14,1,0.0,4,multiobject,proposed,0.01389704248911305,True
15,1,0.0,5,multiobject,proposed,0.012166347709216558,True
16,1,0.0,6,multiobject,proposed,0.012269872828707427,True
17,1,0.0,7,multiobject,proposed,0.01927775722458097,True
18,1,0.0,8,multiobject,proposed,0.013905375266020724,True
19,1,0.0,9,multiobject,proposed,0.01395742861162028,True
20,2,1.0,0,multiobject,proposed,0.0053398824986119735,True
21,2,1.0,1,multiobject,proposed,0.008443979299262296,True
22,2,1.0,2,multiobject,proposed,0.006514444295256743,True
23,2,1.0,3,multiobject,proposed,0.006510954350874911,True
24,2,1.0,4,multiobject,proposed,0.003744170466121402,True
25,2,1.0,5,multiobject,proposed,0.011578983784006612,True
26,2,1.0,6,multiobject,proposed,0.0069887602355185475,True
27,3,1.0,0,multiobject,proposed,0.0053398824986119735,True
28,3,1.0,1,multiobject,proposed,0.008443979299262296,True
29,3,1.0,2,multiobject,proposed,0.006514444295256743,True
30,3,1.0,3,multiobject,proposed,0.006510954350874911,True
31,3,1.0,4,multiobject,proposed,0.003744170466121402,True
32,3,1.0,5,multiobject,proposed,0.011578983784006612,True
33,3,1.0,6,multiobject,proposed,0.0069887602355185475,True
34,4,2.0,0,multiobject,proposed,0.005848282701438534,True
35,4,2.0,1,multiobject,proposed,0.003744170466121402,True
36,5,2.0,0,multiobject,proposed,0.005848282701438534,True
37,5,2.0,1,multiobject,proposed,0.003744170466121402,True
38,6,2.0,0,multiobject,proposed,0.005848282701438534,True
39,6,2.0,1,multiobject,proposed,0.003744170466121402,True
40,7,2.0,0,multiobject,proposed,0.005163954737195723,True
41,7,2.0,1,multiobject,proposed,0.005848282701438534,True
42,7,2.0,2,multiobject,proposed,0.003744170466121402,True
43,8,2.0,0,multiobject,proposed,0.005163954737195723,True
44,8,2.0,1,multiobject,proposed,0.005848282701438534,True
45,8,2.0,2,multiobject,proposed,0.003744170466121402,True
