,request number,chs count,particle num,scene,method,chamfer distance,projection succeeded?
0,0,0.0,0,pitcher,VAE_GAN,0.0020779145814844714,True
1,0,0.0,1,pitcher,VAE_GAN,0.0019636480758624744,True
2,0,0.0,2,pitcher,VAE_GAN,0.0019146528982599046,True
3,0,0.0,3,pitcher,VAE_GAN,0.0020456789108953596,True
4,0,0.0,4,pitcher,VAE_GAN,0.0020251113097779216,True
5,0,0.0,5,pitcher,VAE_GAN,0.0019733645812373725,True
6,0,0.0,6,pitcher,VAE_GAN,0.001964372685556188,True
7,0,0.0,7,pitcher,VAE_GAN,0.001955776342147405,True
8,0,0.0,8,pitcher,VAE_GAN,0.0020085075100119455,True
9,0,0.0,9,pitcher,VAE_GAN,0.00203216638393979,True
10,1,0.0,0,pitcher,VAE_GAN,0.0020779145814844714,True
11,1,0.0,1,pitcher,VAE_GAN,0.0019636480758624744,True
12,1,0.0,2,pitcher,VAE_GAN,0.0019146528982599046,True
13,1,0.0,3,pitcher,VAE_GAN,0.0020456789108953596,True
14,1,0.0,4,pitcher,VAE_GAN,0.0020251113097779216,True
15,1,0.0,5,pitcher,VAE_GAN,0.0019733645812373725,True
16,1,0.0,6,pitcher,VAE_GAN,0.001964372685556188,True
17,1,0.0,7,pitcher,VAE_GAN,0.001955776342147405,True
18,1,0.0,8,pitcher,VAE_GAN,0.0020085075100119455,True
19,1,0.0,9,pitcher,VAE_GAN,0.00203216638393979,True
20,2,1.0,0,pitcher,VAE_GAN,0.002110814037609834,True
21,2,1.0,1,pitcher,VAE_GAN,0.0019500519613368933,True
22,2,1.0,2,pitcher,VAE_GAN,0.0019489777461538247,True
23,2,1.0,3,pitcher,VAE_GAN,0.0020558695546326203,True
24,2,1.0,4,pitcher,VAE_GAN,0.0020697428906638732,True
25,2,1.0,5,pitcher,VAE_GAN,0.0020223720063785285,True
26,2,1.0,6,pitcher,VAE_GAN,0.0019972548906085266,True
27,2,1.0,7,pitcher,VAE_GAN,0.00200042163640585,True
28,2,1.0,8,pitcher,VAE_GAN,0.0020633582312848003,True
29,2,1.0,9,pitcher,VAE_GAN,0.002023613930851188,True
30,3,1.0,0,pitcher,VAE_GAN,0.002110814037609834,True
31,3,1.0,1,pitcher,VAE_GAN,0.0019500519613368933,True
32,3,1.0,2,pitcher,VAE_GAN,0.0019489777461538247,True
33,3,1.0,3,pitcher,VAE_GAN,0.0020558695546326203,True
34,3,1.0,4,pitcher,VAE_GAN,0.0020697428906638732,True
35,3,1.0,5,pitcher,VAE_GAN,0.0020223720063785285,True
36,3,1.0,6,pitcher,VAE_GAN,0.0019972548906085266,True
37,3,1.0,7,pitcher,VAE_GAN,0.00200042163640585,True
